grid_size, iteration bound, run, total_points, points_inside
100, 50, 1, 1.0, 0.8217005293103076
100, 50, 0, 0.9999999999999998, 0.8186419208572585
100, 500, 0, 0.9999999999999998, 0.8286882803417889
100, 500, 1, 1.0, 0.8294830305110192
100, 2000, 0, 0.9999999999999998, 0.8294826823379925
500, 50, 1, 1.0, 0.8241883697423343
500, 50, 0, 1.0, 0.824142874489249
100, 2000, 1, 1.0, 0.8297473731940601
500, 500, 0, 1.0, 0.8326026180366359
500, 500, 1, 1.0, 0.8326121843695391
500, 2000, 0, 1.0, 0.8332701139590002
100, 50, 2, 1.0, 0.8201837924449905
1000, 50, 1, 1.0000000000000004, 0.8235785074994155
1000, 50, 0, 0.9999999999999999, 0.8239755698823614
500, 50, 2, 1.0, 0.8245849788237538
100, 500, 2, 1.0, 0.8291414327767906
500, 2000, 1, 1.0, 0.8333110881000705
1000, 500, 0, 0.9999999999999999, 0.8324721080340809
500, 500, 2, 1.0, 0.8328261299073321
100, 2000, 2, 1.0, 0.8306032441210134
1000, 500, 1, 1.0000000000000004, 0.8319837897441763
1000, 50, 2, 1.0000000000000002, 0.8229247627349507
500, 2000, 2, 1.0, 0.8335370067425196
100, 50, 3, 1.0, 0.8253315142256801
500, 50, 3, 1.0000000000000004, 0.8237987670082912
1000, 500, 2, 1.0000000000000002, 0.8313283115169328
1000, 2000, 0, 0.9999999999999999, 0.8331593632106532
100, 500, 3, 1.0, 0.8339735611327757
1000, 50, 3, 1.0000000000000004, 0.8232658994218199
1000, 2000, 1, 1.0000000000000004, 0.8326571225946471
500, 500, 3, 1.0000000000000004, 0.8318412645591816
100, 2000, 3, 1.0, 0.8345041673526976
500, 2000, 3, 1.0000000000000004, 0.8325566049298164
1000, 2000, 2, 1.0000000000000002, 0.8319649840096218
1000, 500, 3, 1.0000000000000004, 0.8317796540176059
100, 50, 4, 1.0, 0.8143322166332109
500, 50, 4, 0.9999999999999994, 0.8227333412392948
1000, 50, 4, 0.9999999999999999, 0.823979914502659
1000, 2000, 3, 1.0000000000000004, 0.8324589727131856
100, 500, 4, 1.0, 0.8232780232886454
500, 500, 4, 0.9999999999999994, 0.8315305876025836
1000, 500, 4, 0.9999999999999999, 0.8323466166506618
5000, 50, 1, 1.0000000000000002, 0.823283147997862
100, 2000, 4, 1.0, 0.8236817904039461
5000, 50, 0, 1.0000000000000027, 0.8233272607316351
500, 2000, 4, 0.9999999999999994, 0.832196730518935
5000, 50, 2, 1.0000000000000013, 0.8232566947755385
100, 50, 5, 1.0, 0.8316413635237637
500, 50, 5, 0.9999999999999999, 0.8239107030460537
1000, 50, 5, 0.9999999999999997, 0.8225164144443328
5000, 50, 3, 1.0000000000000013, 0.8233866515622211
100, 500, 5, 1.0, 0.8404035673953959
500, 500, 5, 0.9999999999999999, 0.8323216159930711
1000, 2000, 4, 0.9999999999999999, 0.8330243950529591
1000, 500, 5, 0.9999999999999997, 0.8309445359214125
100, 2000, 5, 1.0, 0.8407331122087532
500, 2000, 5, 0.9999999999999999, 0.832957927407717
5000, 50, 4, 0.9999999999999962, 0.8232913083292017
1000, 2000, 5, 0.9999999999999997, 0.8315492695004386
100, 50, 6, 1.0, 0.8186802998366134
500, 50, 6, 1.0, 0.8235725096354858
1000, 50, 6, 1.0000000000000004, 0.8234166857586462
5000, 500, 0, 1.0000000000000027, 0.8317769852762139
100, 500, 6, 1.0, 0.8272548369972215
5000, 500, 1, 1.0000000000000002, 0.8318084947468131
500, 500, 6, 1.0, 0.8317868270913122
1000, 500, 6, 1.0000000000000004, 0.8319447825329719
5000, 500, 2, 1.0000000000000013, 0.8316773997329503
100, 2000, 6, 1.0, 0.8277125594829982
500, 2000, 6, 1.0, 0.8325061096726545
5000, 500, 3, 1.0000000000000013, 0.8318136559490619
