grid_size, max_iterations, run, total_points, points_inside
100, 50, 0, 10000, 3371
100, 500, 0, 10000, 3660
100, 2000, 0, 10000, 3699
500, 50, 0, 250000, 84692
500, 500, 0, 250000, 91729
500, 2000, 0, 250000, 92374
1000, 50, 0, 1000000, 339405
1000, 500, 0, 1000000, 367948
1000, 2000, 0, 1000000, 370769
5000, 50, 0, 25000000, 8489746
5000, 500, 0, 25000000, 9197864
5000, 2000, 0, 25000000, 9267071
100, 50, 1, 10000, 3378
100, 500, 1, 10000, 3653
100, 2000, 1, 10000, 3679
500, 50, 1, 250000, 84649
500, 500, 1, 250000, 91731
500, 2000, 1, 250000, 92451
1000, 50, 1, 1000000, 338907
1000, 500, 1, 1000000, 367361
1000, 2000, 1, 1000000, 370090
5000, 50, 1, 25000000, 8485842
5000, 500, 1, 25000000, 9195141
5000, 2000, 1, 25000000, 9264572
100, 50, 2, 10000, 3377
100, 500, 2, 10000, 3679
100, 2000, 2, 10000, 3696
500, 50, 2, 250000, 84878
500, 500, 2, 250000, 92103
500, 2000, 2, 250000, 92762
1000, 50, 2, 1000000, 339399
1000, 500, 2, 1000000, 367455
1000, 2000, 2, 1000000, 370274
5000, 50, 2, 25000000, 8489048
5000, 500, 2, 25000000, 9198532
5000, 2000, 2, 25000000, 9267496
100, 50, 3, 10000, 3530
100, 500, 3, 10000, 3783
100, 2000, 3, 10000, 3806
500, 50, 3, 250000, 84798
500, 500, 3, 250000, 91953
500, 2000, 3, 250000, 92612
1000, 50, 3, 1000000, 339503
1000, 500, 3, 1000000, 367710
1000, 2000, 3, 1000000, 370559
5000, 50, 3, 25000000, 8484564
5000, 500, 3, 25000000, 9193390
5000, 2000, 3, 25000000, 9262509
100, 50, 4, 10000, 3344
100, 500, 4, 10000, 3648
100, 2000, 4, 10000, 3678
500, 50, 4, 250000, 84895
500, 500, 4, 250000, 91897
500, 2000, 4, 250000, 92570
1000, 50, 4, 1000000, 339596
1000, 500, 4, 1000000, 368076
1000, 2000, 4, 1000000, 370777
5000, 50, 4, 25000000, 8489744
5000, 500, 4, 25000000, 9197710
5000, 2000, 4, 25000000, 9267116
100, 50, 5, 10000, 3391
100, 500, 5, 10000, 3707
100, 2000, 5, 10000, 3738
500, 50, 5, 250000, 84522
500, 500, 5, 250000, 91652
500, 2000, 5, 250000, 92335
1000, 50, 5, 1000000, 338967
1000, 500, 5, 1000000, 367186
1000, 2000, 5, 1000000, 369955
5000, 50, 5, 25000000, 8487502
5000, 500, 5, 25000000, 9196279
5000, 2000, 5, 25000000, 9265119
100, 50, 6, 10000, 3406
100, 500, 6, 10000, 3693
100, 2000, 6, 10000, 3723
500, 50, 6, 250000, 84677
500, 500, 6, 250000, 91769
500, 2000, 6, 250000, 92454
1000, 50, 6, 1000000, 340528
1000, 500, 6, 1000000, 368791
1000, 2000, 6, 1000000, 371570
5000, 50, 6, 25000000, 8489194
5000, 500, 6, 25000000, 9197731
5000, 2000, 6, 25000000, 9266706
100, 50, 7, 10000, 3318
100, 500, 7, 10000, 3581
100, 2000, 7, 10000, 3612
500, 50, 7, 250000, 84857
500, 500, 7, 250000, 91843
500, 2000, 7, 250000, 92500
1000, 50, 7, 1000000, 340109
1000, 500, 7, 1000000, 368530
1000, 2000, 7, 1000000, 371298
5000, 50, 7, 25000000, 8487545
5000, 500, 7, 25000000, 9197173
5000, 2000, 7, 25000000, 9265847
100, 50, 8, 10000, 3439
100, 500, 8, 10000, 3725
100, 2000, 8, 10000, 3755
500, 50, 8, 250000, 84679
500, 500, 8, 250000, 91772
500, 2000, 8, 250000, 92434
1000, 50, 8, 1000000, 339930
1000, 500, 8, 1000000, 368281
1000, 2000, 8, 1000000, 371048
5000, 50, 8, 25000000, 8491215
5000, 500, 8, 25000000, 9201050
5000, 2000, 8, 25000000, 9270131
100, 50, 9, 10000, 3390
100, 500, 9, 10000, 3662
100, 2000, 9, 10000, 3695
500, 50, 9, 250000, 84611
500, 500, 9, 250000, 91745
500, 2000, 9, 250000, 92441
1000, 50, 9, 1000000, 340022
1000, 500, 9, 1000000, 368560
1000, 2000, 9, 1000000, 371315
5000, 50, 9, 25000000, 8484002
5000, 500, 9, 25000000, 9194908
5000, 2000, 9, 25000000, 9263641
