grid_size, max_iterations, run, total_points, points_inside
100, 50, 0, 10000, 8316
100, 500, 0, 10000, 8316
100, 2000, 0, 10000, 8316
100, 50, 1, 10000, 8298
100, 500, 1, 10000, 8298
100, 2000, 1, 10000, 8298
500, 50, 0, 250000, 208093
500, 500, 0, 250000, 208093
500, 2000, 0, 250000, 208093
500, 50, 1, 250000, 207978
500, 500, 1, 250000, 207978
500, 2000, 1, 250000, 207978
1000, 50, 0, 1000000, 831987
1000, 500, 0, 1000000, 831987
100, 50, 2, 10000, 8316
1000, 2000, 0, 1000000, 831987
100, 500, 2, 10000, 8316
100, 2000, 2, 10000, 8316
1000, 50, 1, 1000000, 832906
1000, 500, 1, 1000000, 832906
500, 50, 2, 250000, 208084
500, 500, 2, 250000, 208084
1000, 2000, 1, 1000000, 832906
500, 2000, 2, 250000, 208084
1000, 50, 2, 1000000, 832907
1000, 500, 2, 1000000, 832907
100, 50, 3, 10000, 8336
100, 500, 3, 10000, 8336
100, 2000, 3, 10000, 8336
1000, 2000, 2, 1000000, 832907
500, 50, 3, 250000, 208328
500, 500, 3, 250000, 208328
500, 2000, 3, 250000, 208328
1000, 50, 3, 1000000, 832783
1000, 500, 3, 1000000, 832783
1000, 2000, 3, 1000000, 832783
5000, 50, 0, 25000000, 20810249
100, 50, 4, 10000, 8223
100, 500, 4, 10000, 8223
100, 2000, 4, 10000, 8223
5000, 50, 1, 25000000, 20812548
500, 50, 4, 250000, 208068
5000, 500, 0, 25000000, 20810250
500, 500, 4, 250000, 208068
500, 2000, 4, 250000, 208068
5000, 50, 2, 25000000, 20815289
5000, 500, 1, 25000000, 20812550
1000, 50, 4, 1000000, 832574
1000, 500, 4, 1000000, 832575
100, 50, 5, 10000, 8338
100, 500, 5, 10000, 8338
1000, 2000, 4, 1000000, 832575
100, 2000, 5, 10000, 8338
5000, 500, 2, 25000000, 20815289
500, 50, 5, 250000, 208021
500, 500, 5, 250000, 208021
500, 2000, 5, 250000, 208021
1000, 50, 5, 1000000, 831996
5000, 50, 3, 25000000, 20815545
1000, 500, 5, 1000000, 831996
1000, 2000, 5, 1000000, 831996
100, 50, 6, 10000, 8339
100, 500, 6, 10000, 8339
100, 2000, 6, 10000, 8339
5000, 2000, 0, 25000000, 20810250
5000, 500, 3, 25000000, 20815545
500, 50, 6, 250000, 208283
500, 500, 6, 250000, 208283
500, 2000, 6, 250000, 208283
5000, 2000, 1, 25000000, 20812550
1000, 50, 6, 1000000, 832589
1000, 500, 6, 1000000, 832589
1000, 2000, 6, 1000000, 832589
5000, 2000, 2, 25000000, 20815289
100, 50, 7, 10000, 8355
100, 500, 7, 10000, 8355
100, 2000, 7, 10000, 8355
500, 50, 7, 250000, 207741
500, 500, 7, 250000, 207741
500, 2000, 7, 250000, 207741
1000, 50, 7, 1000000, 832550
1000, 500, 7, 1000000, 832551
5000, 2000, 3, 25000000, 20815546
1000, 2000, 7, 1000000, 832551
5000, 50, 4, 25000000, 20816742
100, 50, 8, 10000, 8355
100, 500, 8, 10000, 8355
100, 2000, 8, 10000, 8355
500, 50, 8, 250000, 208039
500, 500, 8, 250000, 208039
5000, 500, 4, 25000000, 20816743
500, 2000, 8, 250000, 208039
5000, 50, 5, 25000000, 20812560
1000, 50, 8, 1000000, 832705
1000, 500, 8, 1000000, 832705
1000, 2000, 8, 1000000, 832705
5000, 500, 5, 25000000, 20812563
100, 50, 9, 10000, 8347
100, 500, 9, 10000, 8347
100, 2000, 9, 10000, 8347
500, 50, 9, 250000, 207856
5000, 50, 6, 25000000, 20812445
500, 500, 9, 250000, 207856
500, 2000, 9, 250000, 207856
5000, 2000, 4, 25000000, 20816743
1000, 50, 9, 1000000, 832101
5000, 500, 6, 25000000, 20812448
1000, 500, 9, 1000000, 832101
1000, 2000, 9, 1000000, 832101
5000, 50, 7, 25000000, 20816132
5000, 2000, 5, 25000000, 20812564
5000, 500, 7, 25000000, 20816135
5000, 2000, 6, 25000000, 20812448
5000, 2000, 7, 25000000, 20816135
5000, 50, 8, 25000000, 20813655
5000, 500, 8, 25000000, 20813656
5000, 50, 9, 25000000, 20809340
5000, 500, 9, 25000000, 20809340
5000, 2000, 8, 25000000, 20813656
5000, 2000, 9, 25000000, 20809340
