grid_size, max_iterations, run, total_points, points_inside
100, 50, 0, 10000, 8213
100, 500, 0, 10000, 8302
500, 50, 0, 250000, 205858
100, 50, 1, 10000, 8238
100, 2000, 0, 10000, 8314
100, 500, 1, 10000, 8314
100, 2000, 1, 10000, 8317
500, 50, 1, 250000, 205705
1000, 50, 0, 1000000, 823940
500, 500, 0, 250000, 207870
1000, 50, 1, 1000000, 823798
500, 500, 1, 250000, 207699
500, 2000, 0, 250000, 208038
1000, 500, 0, 1000000, 832228
500, 2000, 1, 250000, 207862
100, 50, 2, 10000, 8243
100, 500, 2, 10000, 8339
100, 2000, 2, 10000, 8350
500, 50, 2, 250000, 206193
1000, 500, 1, 1000000, 832104
500, 500, 2, 250000, 208285
1000, 50, 2, 1000000, 823281
500, 2000, 2, 250000, 208471
1000, 500, 2, 1000000, 831511
5000, 50, 0, 25000000, 20587652
1000, 2000, 0, 1000000, 832928
5000, 50, 1, 25000000, 20586795
100, 50, 3, 10000, 8221
100, 500, 3, 10000, 8316
100, 2000, 3, 10000, 8319
500, 50, 3, 250000, 205796
1000, 2000, 1, 1000000, 832783
500, 500, 3, 250000, 207865
1000, 50, 3, 1000000, 823552
500, 2000, 3, 250000, 208038
1000, 500, 3, 1000000, 831876
1000, 2000, 2, 1000000, 832154
5000, 50, 2, 25000000, 20585353
5000, 50, 3, 25000000, 20588076
100, 50, 4, 10000, 8171
1000, 2000, 3, 1000000, 832533
100, 500, 4, 10000, 8255
500, 50, 4, 250000, 205828
100, 2000, 4, 10000, 8257
500, 500, 4, 250000, 207980
1000, 50, 4, 1000000, 823781
500, 2000, 4, 250000, 208132
1000, 500, 4, 1000000, 832046
1000, 2000, 4, 1000000, 832715
5000, 50, 4, 25000000, 20586916
5000, 500, 0, 25000000, 20794338
100, 50, 5, 10000, 8257
100, 500, 5, 10000, 8348
100, 2000, 5, 10000, 8355
500, 50, 5, 250000, 205796
500, 500, 5, 250000, 207807
5000, 500, 1, 25000000, 20794809
1000, 50, 5, 1000000, 823428
500, 2000, 5, 250000, 207957
1000, 500, 5, 1000000, 831572
5000, 500, 2, 25000000, 20791405
1000, 2000, 5, 1000000, 832201
5000, 50, 5, 25000000, 20588642
100, 50, 6, 10000, 8207
100, 500, 6, 10000, 8295
100, 2000, 6, 10000, 8300
500, 50, 6, 250000, 205827
5000, 500, 3, 25000000, 20795051
500, 500, 6, 250000, 207970
1000, 50, 6, 1000000, 823441
500, 2000, 6, 250000, 208145
1000, 500, 6, 1000000, 831698
1000, 2000, 6, 1000000, 832358
5000, 50, 6, 25000000, 20587373
5000, 500, 4, 25000000, 20793884
100, 50, 7, 10000, 8238
100, 500, 7, 10000, 8327
100, 2000, 7, 10000, 8333
500, 50, 7, 250000, 206052
500, 500, 7, 250000, 208140
500, 2000, 7, 250000, 208302
1000, 50, 7, 1000000, 822889
1000, 500, 7, 1000000, 831087
1000, 2000, 7, 1000000, 831731
5000, 50, 7, 25000000, 20588683
5000, 500, 5, 25000000, 20795321
5000, 500, 6, 25000000, 20793339
100, 50, 8, 10000, 8222
100, 500, 8, 10000, 8310
100, 2000, 8, 10000, 8315
500, 50, 8, 250000, 205960
500, 500, 8, 250000, 208018
500, 2000, 8, 250000, 208172
1000, 50, 8, 1000000, 823813
1000, 500, 8, 1000000, 831946
1000, 2000, 8, 1000000, 832582
5000, 50, 8, 25000000, 20587030
5000, 500, 7, 25000000, 20795188
5000, 500, 8, 25000000, 20793151
100, 50, 9, 10000, 8269
100, 500, 9, 10000, 8356
100, 2000, 9, 10000, 8363
500, 50, 9, 250000, 206073
500, 500, 9, 250000, 208139
500, 2000, 9, 250000, 208292
1000, 50, 9, 1000000, 823177
5000, 2000, 0, 25000000, 20810472
1000, 500, 9, 1000000, 831491
5000, 2000, 1, 25000000, 20810980
5000, 50, 9, 25000000, 20587964
1000, 2000, 9, 1000000, 832124
5000, 2000, 2, 25000000, 20807533
5000, 2000, 3, 25000000, 20811028
5000, 2000, 4, 25000000, 20810098
5000, 500, 9, 25000000, 20794956
5000, 2000, 5, 25000000, 20811464
5000, 2000, 6, 25000000, 20809747
5000, 2000, 7, 25000000, 20811411
5000, 2000, 8, 25000000, 20809390
5000, 2000, 9, 25000000, 20811091
