grid_size, max_iterations, total_points, points_inside
3, 10, 100, 27
3, 20, 100, 26
3, 50, 100, 25
3, 100, 100, 16
3, 150, 100, 17
3, 250, 100, 16
3, 500, 100, 17
3, 1000, 100, 15
3, 2000, 100, 17
7, 10, 2500, 571
7, 20, 2500, 514
7, 50, 2500, 405
7, 100, 2500, 422
7, 150, 2500, 436
7, 250, 2500, 430
7, 500, 2500, 405
7, 1000, 2500, 413
7, 2000, 2500, 417
10, 10, 10000, 2245
10, 20, 10000, 1842
10, 50, 10000, 1781
10, 100, 10000, 1695
10, 150, 10000, 1702
10, 250, 10000, 1702
10, 500, 10000, 1627
10, 1000, 10000, 1669
10, 2000, 10000, 1694
15, 10, 62500, 13970
15, 20, 62500, 11829
15, 50, 62500, 11141
15, 100, 62500, 10662
15, 150, 62500, 10613
15, 250, 62500, 10601
15, 500, 62500, 10649
15, 1000, 62500, 10447
15, 2000, 62500, 10636
22, 10, 250000, 56180
22, 20, 250000, 47991
22, 50, 250000, 43831
22, 100, 250000, 42853
22, 150, 250000, 42817
22, 250, 250000, 42315
22, 500, 250000, 42089
22, 1000, 250000, 41933
22, 2000, 250000, 41842
31, 10, 1000000, 225218
31, 20, 1000000, 192299
31, 50, 1000000, 176059
31, 100, 1000000, 171737
31, 150, 1000000, 170391
31, 250, 1000000, 169172
31, 500, 1000000, 169448
31, 1000, 1000000, 166843
31, 2000, 1000000, 168055
44, 10, 4000000, 901535
44, 20, 4000000, 769902
44, 50, 4000000, 706445
44, 100, 4000000, 686775
44, 150, 4000000, 681762
44, 250, 4000000, 675780
44, 500, 4000000, 673691
44, 1000, 4000000, 670866
44, 2000, 4000000, 671255
70, 10, 25000000, 5630905
70, 20, 25000000, 4806703
70, 50, 25000000, 4414341
70, 100, 25000000, 4296419
70, 150, 25000000, 4258600
70, 250, 25000000, 4226750
70, 500, 25000000, 4206010
70, 1000, 25000000, 4197458
70, 2000, 25000000, 4191094
