grid_size, max_iterations, run, total_points, points_inside
100, 50, 0, 10000, 8236
100, 500, 0, 10000, 8314
100, 2000, 0, 10000, 8318
100, 50, 1, 10000, 8237
100, 500, 1, 10000, 8314
100, 2000, 1, 10000, 8320
500, 50, 0, 250000, 205910
500, 50, 1, 250000, 205892
500, 500, 0, 250000, 207934
500, 500, 1, 250000, 207944
1000, 50, 0, 1000000, 823457
1000, 50, 1, 1000000, 823341
500, 2000, 0, 250000, 208091
500, 2000, 1, 250000, 208098
1000, 500, 0, 1000000, 831708
100, 50, 2, 10000, 8236
100, 500, 2, 10000, 8315
100, 2000, 2, 10000, 8318
500, 50, 2, 250000, 205878
1000, 500, 1, 1000000, 831734
500, 500, 2, 250000, 207944
1000, 50, 2, 1000000, 823501
500, 2000, 2, 250000, 208115
1000, 500, 2, 1000000, 831737
1000, 2000, 0, 1000000, 832362
1000, 2000, 1, 1000000, 832391
1000, 2000, 2, 1000000, 832378
100, 50, 3, 10000, 8243
100, 500, 3, 10000, 8316
100, 2000, 3, 10000, 8320
500, 50, 3, 250000, 205852
500, 500, 3, 250000, 207948
500, 2000, 3, 250000, 208095
1000, 50, 3, 1000000, 823486
1000, 500, 3, 1000000, 831738
5000, 50, 0, 25000000, 20586739
1000, 2000, 3, 1000000, 832360
5000, 50, 1, 25000000, 20587231
5000, 50, 2, 25000000, 20587316
100, 50, 4, 10000, 8228
100, 500, 4, 10000, 8308
100, 2000, 4, 10000, 8315
500, 50, 4, 250000, 205877
500, 500, 4, 250000, 207941
500, 2000, 4, 250000, 208087
1000, 50, 4, 1000000, 823448
1000, 500, 4, 1000000, 831750
1000, 2000, 4, 1000000, 832377
5000, 50, 3, 25000000, 20587051
5000, 500, 0, 25000000, 20793940
5000, 500, 1, 25000000, 20793759
100, 50, 5, 10000, 8230
100, 500, 5, 10000, 8318
100, 2000, 5, 10000, 8324
500, 50, 5, 250000, 205869
500, 500, 5, 250000, 207922
500, 2000, 5, 250000, 208098
5000, 50, 4, 25000000, 20587406
1000, 50, 5, 1000000, 823434
5000, 500, 2, 25000000, 20793889
1000, 500, 5, 1000000, 831721
1000, 2000, 5, 1000000, 832374
5000, 500, 3, 25000000, 20793851
100, 50, 6, 10000, 8231
100, 500, 6, 10000, 8319
100, 2000, 6, 10000, 8328
500, 50, 6, 250000, 205837
500, 500, 6, 250000, 207940
500, 2000, 6, 250000, 208085
1000, 50, 6, 1000000, 823498
5000, 50, 5, 25000000, 20587249
1000, 500, 6, 1000000, 831733
1000, 2000, 6, 1000000, 832367
5000, 500, 4, 25000000, 20793679
5000, 50, 6, 25000000, 20587522
100, 50, 7, 10000, 8233
100, 500, 7, 10000, 8312
100, 2000, 7, 10000, 8317
500, 50, 7, 250000, 205917
500, 500, 7, 250000, 207944
500, 2000, 7, 250000, 208109
1000, 50, 7, 1000000, 823560
1000, 500, 7, 1000000, 831757
1000, 2000, 7, 1000000, 832393
5000, 500, 5, 25000000, 20793634
5000, 50, 7, 25000000, 20587241
5000, 500, 6, 25000000, 20793843
100, 50, 8, 10000, 8246
100, 500, 8, 10000, 8328
100, 2000, 8, 10000, 8334
500, 50, 8, 250000, 205863
500, 500, 8, 250000, 207928
500, 2000, 8, 250000, 208099
1000, 50, 8, 1000000, 823512
1000, 500, 8, 1000000, 831721
1000, 2000, 8, 1000000, 832380
5000, 2000, 0, 25000000, 20810163
5000, 2000, 1, 25000000, 20810039
5000, 500, 7, 25000000, 20793726
100, 50, 9, 10000, 8242
100, 500, 9, 10000, 8333
100, 2000, 9, 10000, 8337
500, 50, 9, 250000, 205907
500, 500, 9, 250000, 207943
5000, 2000, 2, 25000000, 20809920
500, 2000, 9, 250000, 208108
1000, 50, 9, 1000000, 823420
5000, 50, 8, 25000000, 20586915
1000, 500, 9, 1000000, 831718
1000, 2000, 9, 1000000, 832357
5000, 2000, 3, 25000000, 20809976
5000, 50, 9, 25000000, 20587258
5000, 500, 8, 25000000, 20793809
5000, 2000, 4, 25000000, 20810074
5000, 500, 9, 25000000, 20793806
5000, 2000, 5, 25000000, 20809947
5000, 2000, 6, 25000000, 20809983
5000, 2000, 7, 25000000, 20809925
5000, 2000, 8, 25000000, 20810054
5000, 2000, 9, 25000000, 20810121
