grid_size, max_iterations, run, total_points, points_inside
7, 70, 0, 49, 42
7, 10, 0, 49, 39
31, 10, 0, 961, 747
7, 60, 0, 49, 42
7, 50, 0, 49, 42
71, 60, 0, 5041, 4144
31, 50, 0, 961, 796
7, 10, 1, 49, 37
7, 50, 1, 49, 39
7, 60, 1, 49, 39
7, 70, 1, 49, 39
71, 70, 0, 5041, 4149
31, 10, 1, 961, 750
31, 50, 1, 961, 789
31, 60, 1, 961, 790
31, 70, 1, 961, 791
31, 70, 0, 961, 798
31, 60, 0, 961, 798
101, 10, 0, 10201, 7893
71, 10, 0, 5041, 3904
101, 50, 0, 10201, 8405
71, 10, 1, 5041, 3894
71, 50, 1, 5041, 4150
101, 60, 0, 10201, 8413
7, 50, 2, 49, 40
7, 10, 2, 49, 39
7, 60, 2, 49, 40
71, 60, 1, 5041, 4159
7, 70, 2, 49, 40
31, 10, 2, 961, 743
101, 70, 0, 10201, 8427
31, 50, 2, 961, 793
71, 70, 1, 5041, 4169
31, 60, 2, 961, 795
31, 70, 2, 961, 795
71, 50, 0, 5041, 4137
71, 10, 2, 5041, 3902
71, 50, 2, 5041, 4158
101, 10, 1, 10201, 7904
7, 10, 3, 49, 40
7, 50, 3, 49, 40
7, 60, 3, 49, 40
7, 70, 3, 49, 40
71, 60, 2, 5041, 4163
31, 10, 3, 961, 749
71, 70, 2, 5041, 4174
101, 50, 1, 10201, 8398
31, 50, 3, 961, 791
31, 60, 3, 961, 792
31, 70, 3, 961, 794
101, 70, 1, 10201, 8430
101, 50, 2, 10201, 8404
71, 10, 3, 5041, 3913
101, 60, 1, 10201, 8414
71, 60, 3, 5041, 4167
7, 10, 4, 49, 35
7, 50, 4, 49, 38
101, 10, 2, 10201, 7883
71, 70, 3, 5041, 4172
7, 60, 4, 49, 38
7, 70, 4, 49, 39
71, 50, 3, 5041, 4160
31, 10, 4, 961, 738
31, 50, 4, 961, 793
31, 60, 4, 961, 795
31, 70, 4, 961, 795
101, 60, 2, 10201, 8419
101, 70, 2, 10201, 8431
101, 10, 3, 10201, 7902
71, 10, 4, 5041, 3896
71, 70, 4, 5041, 4167
7, 10, 5, 49, 35
7, 50, 5, 49, 37
7, 60, 5, 49, 37
7, 70, 5, 49, 37
101, 50, 3, 10201, 8385
71, 50, 4, 5041, 4150
31, 10, 5, 961, 746
31, 50, 5, 961, 793
71, 60, 4, 5041, 4163
31, 70, 5, 961, 795
31, 60, 5, 961, 795
101, 70, 3, 10201, 8418
101, 60, 3, 10201, 8409
71, 10, 5, 5041, 3911
101, 10, 4, 10201, 7911
71, 60, 5, 5041, 4159
7, 10, 6, 49, 37
7, 50, 6, 49, 41
7, 60, 6, 49, 41
7, 70, 6, 49, 41
71, 70, 5, 5041, 4168
31, 10, 6, 961, 746
71, 50, 5, 5041, 4153
31, 60, 6, 961, 791
31, 50, 6, 961, 788
101, 50, 4, 10201, 8406
31, 70, 6, 961, 792
101, 60, 4, 10201, 8422
101, 70, 4, 10201, 8432
71, 10, 6, 5041, 3907
71, 70, 6, 5041, 4166
71, 50, 6, 5041, 4153
7, 10, 7, 49, 39
7, 50, 7, 49, 42
7, 60, 7, 49, 42
7, 70, 7, 49, 42
101, 10, 5, 10201, 7915
71, 60, 6, 5041, 4159
31, 10, 7, 961, 749
31, 60, 7, 961, 793
31, 50, 7, 961, 793
31, 70, 7, 961, 795
101, 60, 5, 10201, 8406
101, 70, 5, 10201, 8416
71, 10, 7, 5041, 3915
101, 50, 5, 10201, 8394
101, 10, 6, 10201, 7910
101, 50, 6, 10201, 8404
7, 10, 8, 49, 38
7, 50, 8, 49, 40
7, 60, 8, 49, 40
7, 70, 8, 49, 40
71, 50, 7, 5041, 4158
31, 10, 8, 961, 750
71, 70, 7, 5041, 4173
31, 50, 8, 961, 794
31, 70, 8, 961, 795
31, 60, 8, 961, 794
71, 60, 7, 5041, 4169
101, 60, 6, 10201, 8415
101, 70, 6, 10201, 8428
71, 10, 8, 5041, 3906
101, 10, 7, 10201, 7901
71, 60, 8, 5041, 4161
7, 10, 9, 49, 39
71, 50, 8, 5041, 4156
7, 50, 9, 49, 40
7, 60, 9, 49, 40
7, 70, 9, 49, 40
71, 70, 8, 5041, 4165
31, 10, 9, 961, 740
101, 70, 7, 10201, 8429
31, 50, 9, 961, 789
101, 60, 7, 10201, 8415
31, 60, 9, 961, 792
31, 70, 9, 961, 793
101, 50, 7, 10201, 8399
101, 10, 8, 10201, 7912
71, 10, 9, 5041, 3910
71, 50, 9, 5041, 4159
71, 60, 9, 5041, 4162
71, 70, 9, 5041, 4166
101, 50, 8, 10201, 8395
101, 60, 8, 10201, 8411
101, 70, 8, 10201, 8419
101, 10, 9, 10201, 7898
101, 50, 9, 10201, 8416
101, 60, 9, 10201, 8435
101, 70, 9, 10201, 8445
