grid size, maximum number of iterations, total points, points inside Mandelbrot
10, 10, 100, 82
10, 20, 100, 84
10, 50, 100, 86
10, 100, 100, 86
10, 150, 100, 86
10, 250, 100, 86
10, 500, 100, 86
10, 1000, 100, 86
10, 2000, 100, 86
50, 10, 2500, 1966
50, 20, 2500, 2042
50, 50, 2500, 2076
50, 100, 2500, 2086
50, 150, 2500, 2090
50, 250, 2500, 2092
50, 500, 2500, 2092
50, 1000, 2500, 2094
50, 2000, 2500, 2094
100, 10, 10000, 7794
100, 20, 10000, 8124
100, 50, 10000, 8262
100, 100, 10000, 8302
100, 150, 10000, 8314
100, 250, 10000, 8334
100, 500, 10000, 8340
100, 1000, 10000, 8342
100, 2000, 10000, 8342
250, 10, 62500, 48548
250, 20, 62500, 50570
250, 50, 62500, 51552
250, 100, 62500, 51840
250, 150, 62500, 51934
250, 250, 62500, 51996
250, 500, 62500, 52048
250, 1000, 62500, 52072
250, 2000, 62500, 52084
500, 10, 250000, 193984
500, 20, 250000, 202106
500, 50, 250000, 206012
500, 100, 250000, 207234
500, 150, 250000, 207632
500, 250, 250000, 207930
500, 500, 250000, 208120
500, 1000, 250000, 208224
500, 2000, 250000, 208277
1000, 10, 1000000, 775434
1000, 20, 1000000, 808096
1000, 50, 1000000, 823896
1000, 100, 1000000, 828574
1000, 150, 1000000, 830034
1000, 250, 1000000, 831212
1000, 500, 1000000, 832067
1000, 1000, 1000000, 832509
1000, 2000, 1000000, 832725
2000, 10, 4000000, 3100698
2000, 20, 4000000, 3231558
2000, 50, 4000000, 3294522
2000, 100, 4000000, 3313434
2000, 150, 4000000, 3319446
2000, 250, 4000000, 3324192
2000, 500, 4000000, 3327672
2000, 1000, 4000000, 3329458
2000, 2000, 4000000, 3330355
5000, 10, 25000000, 19376146
5000, 20, 25000000, 20193804
5000, 50, 25000000, 20588644
5000, 100, 25000000, 20705694
5000, 150, 25000000, 20743114
5000, 250, 25000000, 20773043
5000, 500, 25000000, 20795237
5000, 1000, 25000000, 20806219
5000, 2000, 25000000, 20811626
