grid_size, max_iterations, run, total_points, points_inside
100, 50, 0, 10000, 8225
100, 500, 0, 10000, 8305
500, 50, 0, 250000, 205834
100, 50, 1, 10000, 8209
100, 2000, 0, 10000, 8315
100, 500, 1, 10000, 8292
100, 2000, 1, 10000, 8297
500, 50, 1, 250000, 205771
1000, 50, 0, 1000000, 822843
500, 500, 0, 250000, 207906
1000, 50, 1, 1000000, 823855
500, 500, 1, 250000, 207794
500, 2000, 0, 250000, 208055
1000, 500, 0, 1000000, 831193
500, 2000, 1, 250000, 207924
100, 50, 2, 10000, 8224
100, 500, 2, 10000, 8309
100, 2000, 2, 10000, 8313
500, 50, 2, 250000, 205836
1000, 500, 1, 1000000, 832104
500, 500, 2, 250000, 207889
1000, 50, 2, 1000000, 823844
500, 2000, 2, 250000, 208054
1000, 500, 2, 1000000, 832076
5000, 50, 0, 25000000, 20583669
5000, 50, 1, 25000000, 20585863
1000, 2000, 0, 1000000, 831837
100, 50, 3, 10000, 8246
100, 500, 3, 10000, 8328
100, 2000, 3, 10000, 8335
500, 50, 3, 250000, 206053
1000, 2000, 1, 1000000, 832753
500, 500, 3, 250000, 208122
1000, 50, 3, 1000000, 823651
500, 2000, 3, 250000, 208276
1000, 500, 3, 1000000, 831963
5000, 50, 2, 25000000, 20587569
1000, 2000, 2, 1000000, 832731
5000, 50, 3, 25000000, 20588575
100, 50, 4, 10000, 8135
100, 500, 4, 10000, 8213
100, 2000, 4, 10000, 8220
500, 50, 4, 250000, 205786
1000, 2000, 3, 1000000, 832622
500, 500, 4, 250000, 207870
1000, 50, 4, 1000000, 823730
500, 2000, 4, 250000, 208024
1000, 500, 4, 1000000, 831810
1000, 2000, 4, 1000000, 832396
5000, 50, 4, 25000000, 20590406
5000, 500, 0, 25000000, 20789943
100, 50, 5, 10000, 8259
100, 500, 5, 10000, 8330
100, 2000, 5, 10000, 8337
500, 50, 5, 250000, 205886
500, 500, 5, 250000, 207832
5000, 500, 1, 25000000, 20792452
1000, 50, 5, 1000000, 822824
500, 2000, 5, 250000, 207977
1000, 500, 5, 1000000, 831177
5000, 500, 2, 25000000, 20794898
1000, 2000, 5, 1000000, 831846
5000, 50, 5, 25000000, 20586428
100, 50, 6, 10000, 8254
100, 500, 6, 10000, 8331
100, 2000, 6, 10000, 8338
500, 50, 6, 250000, 206049
500, 500, 6, 250000, 208074
5000, 500, 3, 25000000, 20795171
1000, 50, 6, 1000000, 823463
500, 2000, 6, 250000, 208246
1000, 500, 6, 1000000, 831774
5000, 50, 6, 25000000, 20585728
1000, 2000, 6, 1000000, 832434
5000, 500, 4, 25000000, 20796443
100, 50, 7, 10000, 8275
100, 500, 7, 10000, 8344
100, 2000, 7, 10000, 8352
500, 50, 7, 250000, 205458
500, 500, 7, 250000, 207544
500, 2000, 7, 250000, 207703
1000, 50, 7, 1000000, 823475
1000, 500, 7, 1000000, 831737
1000, 2000, 7, 1000000, 832374
5000, 50, 7, 25000000, 20589561
5000, 500, 5, 25000000, 20792409
5000, 500, 6, 25000000, 20792141
100, 50, 8, 10000, 8264
100, 500, 8, 10000, 8346
100, 2000, 8, 10000, 8352
500, 50, 8, 250000, 205673
500, 500, 8, 250000, 207836
500, 2000, 8, 250000, 207989
1000, 50, 8, 1000000, 823732
1000, 500, 8, 1000000, 831858
1000, 2000, 8, 1000000, 832555
5000, 50, 8, 25000000, 20586454
5000, 500, 7, 25000000, 20796097
5000, 500, 8, 25000000, 20793511
100, 50, 9, 10000, 8257
100, 500, 9, 10000, 8338
100, 2000, 9, 10000, 8347
500, 50, 9, 250000, 205633
500, 500, 9, 250000, 207642
500, 2000, 9, 250000, 207819
1000, 50, 9, 1000000, 823068
1000, 500, 9, 1000000, 831262
5000, 2000, 0, 25000000, 20806207
5000, 2000, 1, 25000000, 20808455
5000, 2000, 2, 25000000, 20811157
5000, 50, 9, 25000000, 20581937
1000, 2000, 9, 1000000, 831938
5000, 2000, 3, 25000000, 20811466
5000, 2000, 4, 25000000, 20812701
5000, 500, 9, 25000000, 20789009
5000, 2000, 5, 25000000, 20808538
5000, 2000, 6, 25000000, 20808370
5000, 2000, 7, 25000000, 20812043
5000, 2000, 8, 25000000, 20809574
5000, 2000, 9, 25000000, 20805145
